source,variable,factor,correlation,p_value,n_obs
Calendar,month_sin,Factor_5,0.8147079601537305,5.023359668429328e-100,416
Calendar,month_cos,Factor_1,-0.6054691241369755,5.7236312233518296e-43,416
Calendar,month_cos,Factor_3,0.46019433550413563,3.408707207263844e-23,416
Calendar,month_cos,Factor_2,-0.40390031740712445,9.360988605311527e-18,416
Calendar,month_sin,Factor_4,0.38885403825736475,1.818179584499128e-16,416
FIRMS,fire_count_detrended,Factor_1,0.3825534423998254,8.535079955330762e-15,383
FIRMS,fire_count_detrended,Factor_5,-0.33662696033374917,1.3347269938542318e-11,383
Calendar,month_cos,Factor_4,-0.3083848821332612,1.2908036529346492e-10,416
FIRMS,frp_sum_detrended,Factor_1,0.30379131839055207,1.2796833853680395e-09,383
FIRMS,frp_sum_detrended,Factor_5,-0.3000174068698375,2.0877939900268264e-09,383
FIRMS,fire_count_detrended,Factor_3,-0.29340260286672204,4.841422518395893e-09,383
Calendar,month_cos,Factor_5,0.277074283311301,9.07732320495452e-09,416
Calendar,month_sin,Factor_2,0.2514639221058006,2.0232272593754198e-07,416
FIRMS,frp_sum_detrended,Factor_3,-0.24923104833728474,7.821485381863688e-07,383
UCDP,fatalities_detrended,Factor_5,0.17652570504513176,0.00029683044360939844,416
UCDP,fatalities_detrended,Factor_1,-0.1619905943296411,0.000913295507250738,416
FIRMS,frp_sum_detrended,Factor_2,-0.14439266740321888,0.004633950517469019,383
Calendar,month_sin,Factor_1,-0.1395847941922836,0.004339149746900882,416
Calendar,month_sin,Factor_3,-0.1376244370737649,0.004924300103213583,416
FIRMS,fire_count_detrended,Factor_2,-0.12578810103397084,0.013760041837261988,383
Lunar,lunar_sin,Factor_2,0.11602475279528993,0.01791697094047591,416
UCDP,event_count_detrended,Factor_2,-0.11517622796580367,0.018778457210549444,416
FIRMS,brightness_mean_detrended,Factor_3,-0.11260287314577236,0.027560164061992277,383
UCDP,event_count_detrended,Factor_1,0.09720222828021849,0.047560708562761685,416
